日期,内容
2020-02-22,我怎么这么想笑呢，哈哈，一个词，一个词的蹦！
2020-02-22,致敬
2020-02-22,政治发言词汇是不能出半点儿差错的，必须仔细小心严谨，任何一个字错了都会有很大的意思不同
2020-02-22,感谢你的信任
2020-02-22,中国通！
2020-02-22,没口音？
2020-02-22,韩国为了中国取消制裁很努力啊
2020-02-22,普通话很好啊
2020-02-22,翻译中——
2020-02-22,谢谢🙏
2020-02-22,同舟共济都会说
2020-02-22,感觉是年轻的时候就经常接触汉语，才能是这种水平
2020-02-22,认真听才听出来口音，这水平太牛了
2020-02-22,我在韩国的健身房已经禁止中国人出入了，心疼我的会员费
2020-02-22,中文一点没口音啊，真的厉害
2020-02-22,谢谢
2020-02-22,中文很好呀！
2020-02-22,是不是害怕一帮人围着他
2020-02-22,差点以为是同胞
2020-02-22,患难见真情，谢谢
2020-02-22,这口音！！！
2020-02-22,这普通话
2020-02-22,这不一中国人吗
2020-02-22,这就一中国人
2020-02-22,好吧
2020-02-22,中文真溜
2020-02-22,谢谢
2020-02-22,谢谢，我们会记得对我们的好
2020-02-22,还以为是中国人
2020-02-22,看不出是韩国人
2020-02-22,儿化音
2020-02-22,还有儿化音
2020-02-22,厉害了
2020-02-22,中文真好
2020-02-22,中文讲的很好
2020-02-22,发音不错就是不回造句
2020-02-22,卧槽这个汉语好好啊
2020-02-22,卧槽这是韩国人
2020-02-22,感谢
2020-02-22,祝安康
2020-02-22,这就是咱们中国人好不
2020-02-22,谢谢！
2020-02-22,哇塞普通话赞
2020-02-22,蹦词
2020-02-22,喔噻。。。
2020-02-22,戴的kf94啊，我也买了几个，比普通口罩强点，比霍尼韦尔差点
2020-02-22,儿化音好评
2020-02-22,词穷了
2020-02-22,这个普通话好厉害！字正腔圆
2020-02-22,感谢
2020-02-22,这中文好的甚至还有口音
2020-02-22,完全没口音啊
2020-02-22,？？开口跪
2020-02-22,中韩友好，等病好了，一起飞。
2020-02-22,感谢
2020-02-22,一起加油奋战疫情
2020-02-22,记者同志太近了吧
2020-02-22,谢谢
2020-02-22,感谢！
2020-02-22,说啥呢，哈哈，结婚？
2020-02-22,中文好棒啊
2020-02-22,发音挺好的
2020-02-22,谢谢
2020-02-22,感射
2020-02-22,可能是中文不太精通
2020-02-22,谢谢
2020-02-22,谢谢
2020-02-22,一起加油
2020-02-22,←这个场合说这话情商太低了吧
2020-02-22,没词了哈哈哈哈哈哈哈
2020-02-22,谢谢
2020-02-22,中文这么好
2020-02-22,词穷了
2020-02-22,行了，出来有你们一份的。
2020-02-22,哈哈哈哈哈哈不知道说什么
2020-02-22,这个普通话我服
2020-02-22,看来是左派
2020-02-22,发音很好吗
2020-02-22,这中文都有中国口音了
2020-02-22,还是鬼子会宣传
2020-02-22,东亚团结一起
2020-02-22,谢谢
2020-02-22,谢谢谢谢谢谢
2020-02-22,谢谢韩国
2020-02-22,貌似中国通的样子
2020-02-22,这中文太溜了
2020-02-22,这是中国人？！
2020-02-22,牛批
2020-02-22,卧槽
2020-02-22,有点儿忧虑
2020-02-22,感谢！
2020-02-22,比喻中韩两国30周年，就像结婚30周年，是金婚。
2020-02-22,中文不错
2020-02-22,你这中文水平有点厉害呀
2020-02-22,自从成都开会以后....
2020-02-22,中国向韩国输出了汤唯Hhhh
2020-02-22,谢谢
2020-02-22,nb
2020-02-22,哈哈，断词儿了
2020-02-22,金婚
2020-02-22,。。。。。。。。。。。。。
2020-02-22,就是这个。。。；中国人吧
2020-02-22,在说啥
2020-02-22,中文？
2020-02-22,中国通呀
2020-02-22,有点连不成句子
2020-02-22,这是韩国人？
2020-02-22,？？？
2020-02-22,词汇缺乏
2020-02-22,哇这中文说的好好
2020-02-22,谢谢！
2020-02-22,中文很好啊
2020-02-22,感谢
2020-02-22,这大凌晨的脑子混乱了
2020-02-22,我忘词了。。。
2020-02-22,卡壳了
2020-02-22,。。
2020-02-22,韩国标配kf94
2020-02-22,思密达
2020-02-22,儿化音
2020-02-22,感谢
2020-02-22,感谢
2020-02-22,他汉语为啥没口音
2020-02-22,字斟句酌23333
2020-02-22,很标准，口音不浓
2020-02-22,大叔有点帅啊
2020-02-22,谢谢国际友人
2020-02-22,如果不是停顿，我没听出来是个外国人。。。。
2020-02-22,中文可以的
2020-02-22,我靠？
2020-02-22,突击检查没准备
2020-02-22,没词儿哈哈
2020-02-22,勇气可嘉
2020-02-22,中文可以啊
2020-02-22,中文说的很好！
2020-02-22,能用中文说不错啦
2020-02-22,这普通话也太准了，刚开始那两句真的不觉得是韩国人，我广东人觉得惭愧
2020-02-22,这中文不错阿
2020-02-22,感谢
2020-02-22,感谢！
2020-02-22,忘词
2020-02-22,谢谢
2020-02-22,中文挺标准的
2020-02-22,脑海中搜索词汇…
2020-02-22,感谢
2020-02-22,1
2020-02-23,每一次中日韩三国关系改善，三国自贸区取得进展的时候，就会有事发生，谁在捣鬼，不言而喻！
2020-02-23,现在中国比韩国安全些吧！！！！
2020-02-23,加油
2020-02-23,加油
2020-02-23,谢谢
2020-02-23,感谢
2020-02-23,有点方言味道
2020-02-23,像极了考研口语面试时的我
2020-02-23,不愧是总领事中文厉害
2020-02-23,是不是想要中国帮忙抗击疫情啊？
2020-02-23,啥？中国人？
2020-02-23,词汇量不足
2020-02-23,谢谢
2020-02-23,同款口罩
2020-02-23,感谢
2020-02-23,中文很标准啊
2020-02-23,谢谢你此时来到武汉！
2020-02-23,谢谢！
2020-02-23,记者：大哥说快点，话筒举着有点累！
2020-02-23,像极了学外语的自己
2020-02-23,口音还是有的
2020-02-23,谢谢
2020-02-23,加油
2020-02-23,还带口音的普通话？好厉害了
2020-02-23,多抄点作业吧你们也开始了
2020-02-23,中文不错，我不会韩语
2020-02-23,不小心看成姜承録了……
2020-02-23,像我藏族同学说话的感觉
2020-02-23,高丽人本来就是中原过去的
2020-02-23,希望亚洲所有国家团结一起共同发展富强
2020-02-23,中文好好
2020-02-23,哈哈哈
2020-02-23,好厉害
2020-02-23,kf94
2020-02-23,我觉得韩国做的比日本好，但是反响不如日本呢
2020-02-23,感谢
2020-02-23,啊？这么标准？
2020-02-23,萨德呢？这对我们很重要的。
2020-02-23,KF94确实不错
2020-02-23,中文好棒
2020-02-23,我怀疑你是中国人
2020-02-23,可能这批物资明天就得还回去了，今天韩国确证了好多人，国外第二疫情国了
2020-02-23,我怎么这么想笑呢，哈哈，一个词，一个词的蹦！
2020-02-23,致敬
2020-02-23,政治发言词汇是不能出半点儿差错的，必须仔细小心严谨，任何一个字错了都会有很大的意思不同
2020-02-23,感谢你的信任
2020-02-23,中国通！
2020-02-23,没口音？
2020-02-23,韩国为了中国取消制裁很努力啊
2020-02-23,普通话很好啊
2020-02-23,翻译中——
2020-02-23,谢谢🙏
2020-02-23,同舟共济都会说
2020-02-23,感觉是年轻的时候就经常接触汉语，才能是这种水平
2020-02-23,认真听才听出来口音，这水平太牛了
2020-02-23,我在韩国的健身房已经禁止中国人出入了，心疼我的会员费
2020-02-23,中文一点没口音啊，真的厉害
2020-02-23,谢谢
2020-02-23,中文很好呀！
2020-02-23,是不是害怕一帮人围着他
2020-02-23,差点以为是同胞
2020-02-23,患难见真情，谢谢
2020-02-23,这口音！！！
2020-02-23,这普通话
2020-02-23,这不一中国人吗
2020-02-23,这就一中国人
2020-02-23,好吧
2020-02-23,中文真溜
2020-02-23,谢谢
2020-02-23,谢谢，我们会记得对我们的好
2020-02-23,还以为是中国人
2020-02-23,看不出是韩国人
2020-02-23,儿化音
2020-02-23,还有儿化音
2020-02-23,厉害了
2020-02-23,中文真好
2020-02-23,中文讲的很好
2020-02-23,发音不错就是不回造句
2020-02-23,卧槽这个汉语好好啊
2020-02-23,卧槽这是韩国人
2020-02-23,感谢
2020-02-23,祝安康
2020-02-23,这就是咱们中国人好不
2020-02-23,谢谢！
2020-02-23,哇塞普通话赞
2020-02-23,蹦词
